image_path,title,popularity,release_date,image_height,image_width
filtered_posters1/poster_0.jpg,57 Seconds,1036.051,2023-09-29,750,500
filtered_posters1/poster_1.jpg,Mission: Impossible - Dead Reckoning Part One,3132.329,2023-07-08,750,500
filtered_posters1/poster_2.jpg,Expend4bles,1063.874,2023-09-15,750,500
filtered_posters1/poster_3.jpg,Sound of Freedom,1271.779,2023-07-03,750,500
filtered_posters1/poster_4.jpg,Nowhere,1290.251,2023-09-29,750,500
filtered_posters1/poster_5.jpg,The Nun II,1706.801,2023-09-06,750,500
filtered_posters1/poster_6.jpg,Talk to Me,1188.455,2023-07-26,750,500
filtered_posters1/poster_7.jpg,Gran Turismo,1025.362,2023-08-09,750,500
filtered_posters1/poster_8.jpg,Ballerina,1091.044,2023-10-05,750,500
filtered_posters1/poster_9.jpg,Retribution,697.448,2023-08-23,750,500
filtered_posters1/poster_10.jpg,The Kill Room,705.024,2023-09-14,750,500
filtered_posters1/poster_11.jpg,Muzzle,855.615,2023-09-29,750,500
filtered_posters1/poster_12.jpg,Meg 2: The Trench,942.047,2023-08-02,750,500
filtered_posters1/poster_13.jpg,Fast X,761.431,2023-05-17,750,500
filtered_posters1/poster_14.jpg,PAW Patrol: The Mighty Movie,897.568,2023-09-21,750,500
filtered_posters1/poster_15.jpg,After Everything,667.278,2023-09-13,750,500
filtered_posters1/poster_16.jpg,Barbie,637.727,2023-07-19,750,500
filtered_posters1/poster_17.jpg,Overhaul,579.324,2023-09-27,750,500
filtered_posters1/poster_18.jpg,Uri: The Surgical Strike,532.808,2019-01-11,750,500
filtered_posters1/poster_19.jpg,Elemental,558.946,2023-06-14,750,500
filtered_posters1/poster_20.jpg,Transformers: Rise of the Beasts,546.911,2023-06-06,750,500
filtered_posters1/poster_21.jpg,Saw X,521.01,2023-09-26,750,500
filtered_posters1/poster_22.jpg,Totally Killer,490.274,2023-09-28,750,500
filtered_posters1/poster_23.jpg,Haunted Mansion,486.811,2023-07-26,750,500
filtered_posters1/poster_24.jpg,Race to the Summit,438.188,2023-10-04,750,500
filtered_posters1/poster_25.jpg,Spider-Man: Across the Spider-Verse,457.419,2023-05-31,750,500
filtered_posters1/poster_26.jpg,V/H/S/85,456.884,2023-09-22,750,500
filtered_posters1/poster_27.jpg,Sniper: G.R.I.T. - Global Response & Intelligence Team,426.978,2023-09-26,750,500
filtered_posters1/poster_28.jpg,Killers of the Flower Moon,426.252,2023-10-18,750,500
filtered_posters1/poster_29.jpg,The Exorcist: Believer,424.79,2023-10-04,750,500
filtered_posters1/poster_30.jpg,Indiana Jones and the Dial of Destiny,420.768,2023-06-28,750,500
filtered_posters1/poster_31.jpg,John Wick: Chapter 4,408.059,2023-03-22,750,500
filtered_posters1/poster_32.jpg,The Flash,388.005,2023-06-13,750,500
filtered_posters1/poster_33.jpg,Mortal Kombat Legends: Cage Match,413.412,2023-10-17,750,500
filtered_posters1/poster_34.jpg,Oppenheimer,400.615,2023-07-19,750,500
filtered_posters1/poster_35.jpg,The Super Mario Bros. Movie,393.338,2023-04-05,750,500
filtered_posters1/poster_36.jpg,Carl's Date,373.017,2023-06-15,750,500
filtered_posters1/poster_37.jpg,Zero Fucks Given,357.292,2022-03-02,750,500
filtered_posters1/poster_38.jpg,Pet Sematary: Bloodlines,368.519,2023-09-23,750,500
filtered_posters1/poster_39.jpg,The Mill,352.035,2023-10-09,750,500
filtered_posters1/poster_40.jpg,Know Fear,320.501,2022-01-20,750,500
filtered_posters1/poster_41.jpg,Let Her Kill You,318.53,2023-03-08,750,500
filtered_posters1/poster_42.jpg,Finnick,338.429,2022-03-24,750,500
filtered_posters1/poster_43.jpg,¿Quieres ser mi hijo?,311.918,2023-09-21,750,500
filtered_posters1/poster_44.jpg,The Ritual Killer,311.611,2023-03-09,750,500
filtered_posters1/poster_45.jpg,The Little Mermaid,308.875,2023-05-18,750,500
filtered_posters1/poster_46.jpg,Kandahar,308.138,2023-05-25,750,500
filtered_posters1/poster_47.jpg,No One Will Save You,283.041,2023-09-22,750,500
filtered_posters1/poster_48.jpg,Operation Napoleon,301.002,2023-01-26,750,500
